1718,114, wlan0_LBS1_NOISE_L, wlan0_LBS2_SIG_Q, wlan0_LBS2_SIG_L, wlan0_LBS2_NOISE_L, wlan0_LBS3_SIG_Q, wlan0_LBS3_SIG_L, wlan0_LBS3_NOISE_L, wlan0_LBS4_SIG_Q, wlan0_LBS4_SIG_L, wlan0_LBS4_NOISE_L, wlan0_NTU@1_SIG_Q, wlan0_NTU@1_SIG_L, wlan0_NTU@1_NOISE_L, wlan0_NTU@2_SIG_Q, wlan0_NTU@2_SIG_L, wlan0_NTU@2_NOISE_L, wlan0_NTU@3_SIG_Q, wlan0_NTU@3_SIG_L, wlan0_NTU@3_NOISE_L, wlan0_NTU@4_SIG_Q, wlan0_NTU@4_SIG_L, wlan0_NTU@4_NOISE_L, wlan0_ntu_peap@1_SIG_Q, wlan0_ntu_peap@1_SIG_L, wlan0_ntu_peap@1_NOISE_L, wlan0_ntu_peap@2_SIG_Q, wlan0_ntu_peap@2_SIG_L, wlan0_ntu_peap@2_NOISE_L, wlan0_ntu_peap@3_SIG_Q, wlan0_ntu_peap@3_SIG_L, wlan0_ntu_peap@3_NOISE_L, wlan0_eduroam@1_SIG_Q, wlan0_eduroam@1_SIG_L, wlan0_eduroam@1_NOISE_L, wlan0_eduroam@2_SIG_Q, wlan0_eduroam@2_SIG_L, wlan0_eduroam@2_NOISE_L, wlan0_eduroam@3_SIG_Q, wlan0_eduroam@3_SIG_L, wlan0_eduroam@3_NOISE_L, wlan0_MD402_1_SIG_Q, wlan0_MD402_1_SIG_L, wlan0_MD402_1_NOISE_L, wlan0_MD402-2_SIG_Q, wlan0_MD402-2_SIG_L, wlan0_MD402-2_NOISE_L, wlan0_NTUMOOC_SIG_Q, wlan0_NTUMOOC_SIG_L, wlan0_NTUMOOC_NOISE_L, wlan0_eslab-Dlink652_SIG_Q, wlan0_eslab-Dlink652_SIG_L, wlan0_eslab-Dlink652_NOISE_L, wlan0_DIRECT-32-HP M377 LaserJet_SIG_Q, wlan0_DIRECT-32-HP M377 LaserJet_SIG_L, wlan0_DIRECT-32-HP M377 LaserJet_NOISE_L, ra0_LBS1_SIG_Q, ra0_LBS1_SIG_L, ra0_LBS1_NOISE_L, ra0_LBS2_SIG_Q, ra0_LBS2_SIG_L, ra0_LBS2_NOISE_L, ra0_LBS3_SIG_Q, ra0_LBS3_SIG_L, ra0_LBS3_NOISE_L, ra0_LBS4_SIG_Q, ra0_LBS4_SIG_L, ra0_LBS4_NOISE_L, ra0_NTU@1_SIG_Q, ra0_NTU@1_SIG_L, ra0_NTU@1_NOISE_L, ra0_NTU@2_SIG_Q, ra0_NTU@2_SIG_L, ra0_NTU@2_NOISE_L, ra0_NTU@3_SIG_Q, ra0_NTU@3_SIG_L, ra0_NTU@3_NOISE_L, ra0_NTU@4_SIG_Q, ra0_NTU@4_SIG_L, ra0_NTU@4_NOISE_L, ra0_ntu_peap@1_SIG_Q, ra0_ntu_peap@1_SIG_L, ra0_ntu_peap@1_NOISE_L, ra0_ntu_peap@2_SIG_Q, ra0_ntu_peap@2_SIG_L, ra0_ntu_peap@2_NOISE_L, ra0_ntu_peap@3_SIG_Q, ra0_ntu_peap@3_SIG_L, ra0_ntu_peap@3_NOISE_L, ra0_eduroam@1_SIG_Q, ra0_eduroam@1_SIG_L, ra0_eduroam@1_NOISE_L, ra0_eduroam@2_SIG_Q, ra0_eduroam@2_SIG_L, ra0_eduroam@2_NOISE_L, ra0_eduroam@3_SIG_Q, ra0_eduroam@3_SIG_L, ra0_eduroam@3_NOISE_L, ra0_MD402_1_SIG_Q, ra0_MD402_1_SIG_L, ra0_MD402_1_NOISE_L, ra0_MD402-2_SIG_Q, ra0_MD402-2_SIG_L, ra0_MD402-2_NOISE_L, ra0_NTUMOOC_SIG_Q, ra0_NTUMOOC_SIG_L, ra0_NTUMOOC_NOISE_L, ra0_eslab-Dlink652_SIG_Q, ra0_eslab-Dlink652_SIG_L, ra0_eslab-Dlink652_NOISE_L, ra0_DIRECT-32-HP M377 LaserJet_SIG_Q, ra0_DIRECT-32-HP M377 LaserJet_SIG_L, ra0_DIRECT-32-HP M377 LaserJet_NOISE_L, Y
41,-69,0,59,-51,0,57,-53,0,57,-53,0,39,-71,0,33,-77,0,34,-76,0,50,-60,0,40,-70,0,34,-76,0,50,-60,0,52,-58,0,22,-88,0,35,-75,0,60,-50,0,56,-54,0,56,-54,0,37,-73,0,42,-68,0,91,-54,-92,100,-41,-92,96,-52,-92,100,-50,-92,60,-66,-92,29,-78,-73,44,-72,-67,47,-71,-66,63,-65,-92,39,-74,-69,86,-56,-92,50,-70,-92,0,0,0,42,-73,-68,100,-49,-92,100,-42,-92,100,-44,-92,44,-72,-67,60,-66,-92,1
54,-56,0,61,-49,0,61,-49,0,60,-50,0,44,-66,0,33,-77,0,37,-73,0,44,-66,0,44,-66,0,34,-76,0,42,-68,0,46,-64,0,22,-88,0,35,-75,0,61,-49,0,56,-54,0,56,-54,0,40,-70,0,42,-68,0,83,-57,-92,100,-48,-92,89,-55,-92,86,-56,-92,60,-66,-92,29,-78,-73,39,-74,-69,81,-58,-92,70,-62,-92,42,-73,-68,52,-69,-92,83,-57,-92,0,0,0,42,-73,-68,100,-45,-92,100,-42,-92,100,-44,-92,47,-71,-66,57,-67,-92,1
47,-63,0,61,-49,0,61,-49,0,61,-49,0,34,-76,0,35,-75,0,37,-73,0,48,-62,0,44,-66,0,34,-76,0,50,-60,0,47,-63,0,22,-88,0,35,-75,0,59,-51,0,50,-60,0,56,-54,0,40,-70,0,40,-70,0,83,-57,-92,100,-43,-92,94,-53,-92,96,-52,-92,60,-66,-92,29,-78,-73,39,-74,-69,55,-68,-92,57,-67,-92,44,-72,-67,86,-56,-92,55,-68,-92,29,-78,-73,42,-73,-68,100,-45,-92,100,-46,-92,100,-43,-92,52,-69,-92,70,-62,-92,1
47,-63,0,61,-49,0,58,-52,0,58,-52,0,42,-68,0,32,-78,0,36,-74,0,49,-61,0,40,-70,0,34,-76,0,50,-60,0,51,-59,0,22,-88,0,34,-76,0,57,-53,0,50,-60,0,58,-52,0,40,-70,0,34,-76,0,86,-56,-92,100,-41,-92,94,-53,-92,96,-52,-92,63,-65,-92,29,-78,-73,47,-71,-66,55,-68,-92,63,-65,-92,47,-71,-66,57,-67,-92,83,-57,-92,34,-76,-71,47,-71,-66,100,-45,-92,100,-46,-92,100,-44,-92,50,-70,-92,55,-68,-92,1
51,-59,0,59,-51,0,58,-52,0,60,-50,0,40,-70,0,32,-78,0,33,-77,0,49,-61,0,41,-69,0,34,-76,0,41,-69,0,37,-73,0,22,-88,0,38,-72,0,61,-49,0,57,-53,0,56,-54,0,29,-81,0,34,-76,0,91,-54,-92,100,-41,-92,86,-56,-92,100,-50,-92,60,-66,-92,0,0,0,37,-75,-70,86,-56,-92,55,-68,-92,44,-72,-67,83,-57,-92,83,-57,-92,29,-78,-73,42,-73,-68,100,-43,-92,100,-46,-92,100,-44,-92,50,-70,-92,52,-69,-92,1
44,-66,0,61,-49,0,58,-52,0,60,-50,0,55,-55,0,24,-86,0,30,-80,0,46,-64,0,46,-64,0,34,-76,0,46,-64,0,47,-63,0,0,0,0,38,-72,0,59,-51,0,51,-59,0,57,-53,0,40,-70,0,46,-64,0,91,-54,-92,100,-41,-92,96,-52,-92,96,-52,-92,55,-68,-92,0,0,0,39,-74,-69,47,-71,-66,52,-69,-92,37,-75,-70,81,-58,-92,81,-58,-92,26,-79,-74,42,-73,-68,100,-45,-92,100,-45,-92,100,-44,-92,47,-71,-66,52,-69,-92,1
52,-58,0,61,-49,0,63,-47,0,57,-53,0,44,-66,0,24,-86,0,30,-80,0,37,-73,0,43,-67,0,34,-76,0,36,-74,0,47,-63,0,0,0,0,38,-72,0,52,-58,0,47,-63,0,59,-51,0,40,-70,0,35,-75,0,76,-60,-92,100,-41,-92,100,-48,-92,99,-51,-92,50,-70,-92,0,0,0,39,-74,-69,44,-72,-67,65,-64,-92,42,-73,-68,81,-58,-92,73,-61,-92,29,-78,-73,42,-73,-68,100,-45,-92,100,-43,-92,100,-43,-92,52,-69,-92,52,-69,-92,1
50,-60,0,59,-51,0,49,-61,0,56,-54,0,49,-61,0,24,-86,0,32,-78,0,48,-62,0,43,-67,0,34,-76,0,46,-64,0,47,-63,0,0,0,0,38,-72,0,58,-52,0,45,-65,0,59,-51,0,40,-70,0,35,-75,0,94,-53,-92,100,-42,-92,86,-56,-92,94,-53,-92,50,-70,-92,0,0,0,34,-76,-71,76,-60,-92,65,-64,-92,34,-76,-71,70,-62,-92,73,-61,-92,34,-76,-71,42,-73,-68,100,-46,-92,100,-50,-92,100,-42,-92,42,-73,-68,60,-66,-92,1
49,-61,0,61,-49,0,58,-52,0,57,-53,0,45,-65,0,36,-74,0,32,-78,0,48,-62,0,46,-64,0,34,-76,0,45,-65,0,44,-66,0,0,0,0,38,-72,0,51,-59,0,52,-58,0,58,-52,0,37,-73,0,38,-72,0,81,-58,-92,100,-40,-92,100,-48,-92,96,-52,-92,63,-65,-92,0,0,0,63,-65,-92,78,-59,-92,63,-65,-92,44,-72,-67,68,-63,-92,81,-58,-92,26,-79,-74,50,-70,-92,100,-47,-92,100,-44,-92,100,-43,-92,44,-72,-67,50,-70,-92,1
50,-60,0,62,-48,0,59,-51,0,53,-57,0,41,-69,0,36,-74,0,32,-78,0,50,-60,0,44,-66,0,34,-76,0,51,-59,0,49,-61,0,0,0,0,38,-72,0,50,-60,0,58,-52,0,60,-50,0,43,-67,0,40,-70,0,86,-56,-92,100,-40,-92,100,-48,-92,96,-52,-92,57,-67,-92,0,0,0,44,-72,-67,76,-60,-92,60,-66,-92,37,-75,-70,73,-61,-92,73,-61,-92,29,-78,-73,42,-73,-68,100,-49,-92,100,-43,-92,100,-43,-92,42,-73,-68,60,-66,-92,1
46,-64,0,64,-46,0,66,-44,0,61,-49,0,41,-69,0,31,-79,0,41,-69,0,56,-54,0,0,0,0,0,0,0,56,-54,0,61,-49,0,25,-85,0,0,0,0,70,-39,0,64,-46,0,50,-60,0,40,-70,0,34,-76,0,65,-64,-92,100,-43,-92,100,-44,-92,100,-50,-92,57,-67,-92,42,-73,-68,42,-73,-68,65,-64,-92,47,-71,-66,39,-74,-69,83,-57,-92,81,-58,-92,24,-80,-75,42,-73,-68,100,-43,-92,100,-44,-92,100,-43,-92,42,-73,-68,60,-66,-92,2
44,-66,0,64,-46,0,68,-42,0,55,-55,0,44,-66,0,31,-79,0,30,-80,0,48,-62,0,44,-66,0,0,0,0,49,-61,0,61,-49,0,25,-85,0,32,-78,0,70,-39,0,61,-49,0,47,-63,0,38,-72,0,32,-78,0,73,-61,-92,100,-45,-92,18,-83,-88,100,-48,-92,29,-78,-73,39,-74,-69,39,-74,-69,99,-51,-92,39,-74,-69,37,-75,-78,96,-52,-92,78,-59,-92,42,-73,-68,39,-74,-69,100,-40,-92,100,-47,-92,73,-61,-92,42,-73,-68,65,-64,-92,2
44,-66,0,62,-48,0,62,-48,0,58,-52,0,49,-61,0,33,-77,0,41,-69,0,45,-65,0,48,-62,0,40,-70,0,52,-58,0,50,-60,0,25,-85,0,40,-70,0,70,-40,0,62,-48,0,48,-62,0,34,-76,0,32,-78,0,60,-66,-92,100,-48,-92,100,-45,-92,100,-46,-92,50,-70,-92,39,-74,-69,44,-72,-67,86,-56,-92,55,-68,-92,44,-72,-67,78,-59,-92,100,-50,-92,42,-73,-68,39,-74,-69,100,-42,-92,100,-42,-92,76,-60,-92,0,0,0,63,-65,-92,2
48,-62,0,67,-43,0,66,-44,0,57,-53,0,44,-66,0,33,-77,0,36,-74,0,50,-60,0,48,-62,0,40,-70,0,55,-55,0,51,-59,0,25,-85,0,35,-75,0,70,-40,0,62,-48,0,50,-60,0,41,-69,0,28,-82,0,86,-56,-92,100,-50,-92,100,-45,-92,100,-47,-92,60,-66,-92,39,-74,-69,47,-71,-66,94,-53,-92,73,-61,-92,44,-72,-67,94,-53,-92,55,-68,-92,42,-73,-68,47,-71,-66,100,-42,-92,100,-40,-92,70,-62,-92,0,0,0,63,-65,-92,2
53,-57,0,64,-46,0,61,-49,0,57,-53,0,42,-68,0,32,-78,0,31,-79,0,47,-63,0,42,-68,0,38,-72,0,42,-68,0,51,-59,0,25,-85,0,35,-75,0,65,-45,0,62,-48,0,48,-62,0,41,-69,0,28,-82,0,86,-56,-92,100,-47,-92,100,-44,-92,100,-47,-92,68,-63,-92,44,-72,-67,44,-72,-67,94,-53,-92,68,-63,-92,42,-73,-68,94,-53,-92,94,-53,-92,39,-74,-69,44,-72,-67,100,-42,-92,100,-39,-92,76,-60,-92,44,-72,-67,68,-63,-92,2
55,-55,0,67,-43,0,56,-54,0,56,-54,0,42,-68,0,32,-78,0,33,-77,0,48,-62,0,42,-68,0,42,-68,0,45,-65,0,42,-68,0,26,-84,0,41,-69,0,67,-43,0,62,-48,0,46,-64,0,37,-73,0,34,-76,0,70,-62,-92,100,-48,-92,100,-45,-92,100,-47,-92,57,-67,-92,42,-73,-68,44,-72,-67,86,-56,-92,57,-67,-92,47,-71,-66,86,-56,-92,91,-54,-92,39,-74,-69,44,-72,-67,100,-40,-92,100,-39,-92,70,-62,-92,55,-68,-92,60,-66,-92,2
52,-58,0,66,-44,0,61,-49,0,56,-54,0,46,-64,0,32,-78,0,41,-69,0,49,-61,0,46,-64,0,41,-69,0,45,-65,0,49,-61,0,27,-83,0,33,-77,0,67,-43,0,63,-47,0,48,-62,0,43,-67,0,34,-76,0,83,-57,-92,100,-50,-92,100,-45,-92,100,-49,-92,65,-64,-92,37,-75,-70,44,-72,-67,89,-55,-92,65,-64,-92,47,-71,-66,99,-51,-92,86,-56,-92,39,-74,-69,44,-72,-67,100,-43,-92,100,-40,-92,70,-62,-92,55,-68,-92,60,-66,-92,2
46,-64,0,63,-47,0,64,-46,0,56,-54,0,47,-63,0,32,-78,0,42,-68,0,49,-61,0,46,-64,0,41,-69,0,53,-57,0,50,-60,0,27,-83,0,39,-71,0,70,-39,0,61,-49,0,46,-64,0,38,-72,0,30,-80,0,70,-62,-92,100,-47,-92,100,-45,-92,100,-48,-92,44,-72,-67,44,-72,-67,44,-72,-67,91,-54,-92,42,-73,-68,44,-72,-67,91,-54,-92,52,-69,-92,0,0,0,29,-78,-73,100,-42,-92,100,-42,-92,70,-62,-92,47,-71,-66,60,-66,-92,2
39,-71,0,67,-43,0,67,-43,0,57,-53,0,38,-72,0,32,-78,0,33,-77,0,49,-61,0,43,-67,0,35,-75,0,55,-55,0,49,-61,0,27,-83,0,39,-71,0,70,-38,0,62,-48,0,48,-62,0,42,-68,0,30,-80,0,70,-62,-92,100,-47,-92,100,-44,-92,100,-49,-92,55,-68,-92,39,-74,-77,42,-73,-68,89,-55,-92,57,-67,-92,29,-78,-73,65,-64,-92,52,-69,-92,42,-73,-68,42,-73,-68,100,-42,-92,100,-41,-92,76,-60,-92,44,-72,-67,65,-64,-92,2
44,-66,0,66,-44,0,65,-45,0,55,-55,0,45,-65,0,30,-80,0,33,-77,0,48,-62,0,45,-65,0,32,-78,0,50,-60,0,55,-55,0,27,-83,0,33,-77,0,69,-41,0,60,-50,0,46,-64,0,37,-73,0,30,-80,0,81,-58,-92,100,-49,-92,100,-44,-92,99,-51,-92,50,-70,-92,39,-74,-77,47,-71,-66,86,-56,-92,50,-70,-92,50,-70,-92,94,-53,-92,94,-53,-92,47,-71,-66,47,-71,-66,100,-41,-92,100,-44,-92,70,-62,-92,42,-73,-68,65,-64,-92,2
41,-69,0,67,-43,0,65,-45,0,45,-65,0,41,-69,0,30,-80,0,33,-77,0,48,-62,0,44,-66,0,32,-78,0,50,-60,0,55,-55,0,27,-83,0,33,-77,0,70,-37,0,61,-49,0,47,-63,0,38,-72,0,30,-80,0,76,-60,-92,100,-49,-92,100,-45,-92,100,-50,-92,60,-66,-92,29,-78,-73,44,-72,-67,65,-64,-92,60,-66,-92,42,-73,-68,65,-64,-92,86,-56,-92,47,-71,-66,31,-77,-72,100,-42,-92,100,-39,-92,70,-62,-92,50,-70,-92,60,-66,-92,2
50,-60,0,67,-43,0,65,-45,0,55,-55,0,45,-65,0,26,-84,0,39,-71,0,53,-57,0,42,-68,0,38,-72,0,53,-57,0,55,-55,0,29,-81,0,39,-71,0,69,-41,0,61,-49,0,48,-62,0,43,-67,0,27,-83,0,73,-61,-92,100,-48,-92,100,-43,-92,100,-49,-92,44,-72,-67,29,-78,-73,50,-70,-92,89,-55,-92,44,-72,-67,47,-71,-66,86,-56,-92,86,-56,-92,47,-71,-66,47,-71,-66,100,-40,-92,100,-39,-92,78,-59,-92,50,-70,-92,60,-66,-92,2
51,-59,0,67,-43,0,66,-44,0,55,-55,0,42,-68,0,26,-84,0,30,-80,0,53,-57,0,43,-67,0,38,-72,0,53,-57,0,55,-55,0,29,-81,0,39,-71,0,68,-42,0,61,-49,0,50,-60,0,42,-68,0,27,-83,0,70,-62,-92,100,-50,-92,100,-43,-92,100,-50,-92,52,-69,-92,81,-58,-92,52,-69,-92,52,-69,-92,63,-65,-92,50,-70,-92,68,-63,-92,89,-55,-92,44,-72,-67,50,-70,-92,100,-42,-92,100,-44,-92,70,-62,-92,50,-70,-92,55,-68,-92,2
49,-61,0,67,-43,0,64,-46,0,57,-53,0,42,-68,0,26,-84,0,39,-71,0,51,-59,0,43,-67,0,35,-75,0,56,-54,0,55,-55,0,29,-81,0,32,-78,0,67,-43,0,64,-46,0,50,-60,0,41,-69,0,27,-83,0,68,-63,-92,100,-50,-92,100,-44,-92,100,-50,-92,68,-63,-92,78,-59,-92,24,-80,-75,91,-54,-92,68,-63,-92,37,-75,-70,96,-52,-92,94,-53,-92,44,-72,-67,39,-74,-69,100,-41,-92,100,-39,-92,68,-63,-92,50,-70,-92,55,-68,-92,2
